Date,Expiry,Series Code,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of Contracts,Notional Turnover,Open Interest,Change in OI,Underlying Value
31/12/2024,24-Feb-2025,BANKEX25FEB58300CE,58300.00,2520.00,2520.00,1300.00,1300.00,,1624.8500000,2,36.13,0,-,57741.99
31/12/2024,24-Feb-2025,BANKEX25FEB59100CE,59100.00,1800.00,1800.00,900.00,900.00,,1268.1000000,2,36.27,0,-,57741.99
31/12/2024,27-Jan-2025,BANKEX25JAN57100CE,57100.00,1600.00,1600.00,1600.00,1600.00,,1642.2500000,1,17.61,1,-,57741.99
31/12/2024,27-Jan-2025,BANKEX25JAN57400CE,57400.00,1399.00,1550.00,1278.00,1350.05,,1463.3000000,16,282.19,5,-,57741.99
31/12/2024,27-Jan-2025,BANKEX25JAN57500CE,57500.00,1232.15,1438.65,1218.75,1387.95,,1387.9500000,265,4676.12,51,-,57741.99
31/12/2024,27-Jan-2025,BANKEX25JAN57600CE,57600.00,1261.85,1399.00,1158.00,1320.40,,1320.4000000,305,5396.03,23,-,57741.99
31/12/2024,27-Jan-2025,BANKEX25JAN57700CE,57700.00,714.00,1313.15,700.00,1251.30,,1251.3000000,217,3844.88,16,-,57741.99
31/12/2024,27-Jan-2025,BANKEX25JAN57800CE,57800.00,1297.80,1297.80,1073.65,1200.90,,1200.9000000,293,5193.03,34,-,57741.99
31/12/2024,27-Jan-2025,BANKEX25JAN57900CE,57900.00,1128.75,1174.70,1052.40,1126.50,,1126.5000000,23,407.24,4,-,57741.99
31/12/2024,27-Jan-2025,BANKEX25JAN58000CE,58000.00,1025.00,1128.15,960.00,1079.45,,1079.4500000,172,3056.19,50,-,57741.99
31/12/2024,27-Jan-2025,BANKEX25JAN58100CE,58100.00,1200.00,1200.00,917.05,1029.80,,1029.8000000,28,505.68,9,-,57741.99
31/12/2024,27-Jan-2025,BANKEX25JAN58200CE,58200.00,997.60,1017.50,850.00,980.95,,980.9500000,71,1260.04,23,-,57741.99
31/12/2024,27-Jan-2025,BANKEX25JAN58300CE,58300.00,880.00,949.40,855.00,932.20,,932.2000000,19,346.33,9,-,57741.99
31/12/2024,27-Jan-2025,BANKEX25JAN58400CE,58400.00,838.10,955.15,806.00,881.30,,881.3000000,14,257.76,6,-,57741.99
31/12/2024,27-Jan-2025,BANKEX25JAN58500CE,58500.00,841.45,852.20,695.80,821.35,,821.3500000,50,898.13,28,-,57741.99
31/12/2024,27-Jan-2025,BANKEX25JAN58600CE,58600.00,0.00,0.00,0.00,872.50,,872.5000000,0,0.00,0,-,57741.99
31/12/2024,27-Jan-2025,BANKEX25JAN58700CE,58700.00,701.40,736.10,697.35,697.35,,832.2500000,3,62.38,3,-,57741.99
31/12/2024,27-Jan-2025,BANKEX25JAN58800CE,58800.00,635.60,711.70,635.60,684.75,,684.7500000,8,142.72,3,-,57741.99
31/12/2024,27-Jan-2025,BANKEX25JAN58900CE,58900.00,649.90,649.90,596.70,633.65,,633.6500000,20,366.08,8,-,57741.99
31/12/2024,27-Jan-2025,BANKEX25JAN59000CE,59000.00,530.00,634.65,499.95,600.15,,600.1500000,135,2420.95,59,-,57741.99
31/12/2024,27-Jan-2025,BANKEX25JAN59100CE,59100.00,585.45,592.05,543.30,568.50,,568.5000000,7,125.31,3,-,57741.99
31/12/2024,27-Jan-2025,BANKEX25JAN59300CE,59300.00,512.00,512.00,465.80,487.95,,487.9500000,4,71.75,1,-,57741.99
31/12/2024,27-Jan-2025,BANKEX25JAN59400CE,59400.00,0.00,0.00,0.00,586.85,,586.8500000,0,0.00,8,-,57741.99
31/12/2024,27-Jan-2025,BANKEX25JAN59500CE,59500.00,320.05,445.95,320.05,422.45,,422.4500000,108,1949.82,51,-,57741.99
31/12/2024,27-Jan-2025,BANKEX25JAN59600CE,59600.00,411.00,415.90,349.80,382.85,,382.8500000,1,27.00,0,-,57741.99
