Date,Expiry,Series Code,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of Contracts,Notional Turnover,Open Interest,Change in OI,Underlying Value
03/02/2025,04-Feb-2025,SENSEX2520474000CE,74000.00,0.00,0.00,0.00,3200.45,,3200.4500000,0,0.00,8,-,77186.74
03/02/2025,04-Feb-2025,SENSEX2520474200CE,74200.00,0.00,0.00,0.00,3000.60,,3000.6000000,0,0.00,2,-,77186.74
03/02/2025,04-Feb-2025,SENSEX2520474300CE,74300.00,0.00,0.00,0.00,2900.65,,2900.6500000,0,0.00,9,-,77186.74
03/02/2025,04-Feb-2025,SENSEX2520474400CE,74400.00,0.00,0.00,0.00,2800.75,,2800.7500000,0,0.00,45,-,77186.74
03/02/2025,04-Feb-2025,SENSEX2520474500CE,74500.00,0.00,0.00,0.00,2700.90,,2700.9000000,0,0.00,29,-,77186.74
03/02/2025,04-Feb-2025,SENSEX2520474600CE,74600.00,2568.10,2568.10,2568.10,2568.10,,2601.1000000,1,15.43,1,-,77186.74
03/02/2025,04-Feb-2025,SENSEX2520474700CE,74700.00,0.00,0.00,0.00,2501.40,,2501.4000000,0,0.00,4,-,77186.74
03/02/2025,04-Feb-2025,SENSEX2520474800CE,74800.00,2242.70,2242.70,2236.90,2236.90,,2401.8000000,2,30.82,4,-,77186.74
03/02/2025,04-Feb-2025,SENSEX2520474900CE,74900.00,2150.00,2381.35,2150.00,2381.35,,2302.3500000,4,61.78,7,-,77186.74
03/02/2025,04-Feb-2025,SENSEX2520475000CE,75000.00,2027.40,2327.65,1925.50,2270.50,,2270.5000000,354,5458.49,411,-,77186.74
03/02/2025,04-Feb-2025,SENSEX2520475100CE,75100.00,1947.70,2213.95,1947.70,2171.60,,2104.0500000,16,246.76,71,-,77186.74
03/02/2025,04-Feb-2025,SENSEX2520475200CE,75200.00,1840.50,2104.50,1732.30,2062.90,,2062.9000000,14,215.71,66,-,77186.74
03/02/2025,04-Feb-2025,SENSEX2520475300CE,75300.00,1743.50,1986.00,1648.10,1972.65,,1972.6500000,25,385.58,38,-,77186.74
