Date,Expiry,Series Code,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of Contracts,Notional Turnover,Open Interest,Change in OI,Underlying Value
29/12/2023,01-Jan-2024,BANKEX2410151500PE,51500.00,4.00,12.30,0.65,0.90,,0.9000000,1545,23878.91,198,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410151800PE,51800.00,2.30,8.95,0.60,0.60,,0.6000000,53,831.46,43,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410151900PE,51900.00,3.50,3.50,0.60,0.80,,0.8000000,82,1284.57,20,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410152000PE,52000.00,8.10,8.10,0.70,1.25,,1.2500000,7924,123620.42,1404,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410152100PE,52100.00,2.25,6.55,0.65,1.30,,1.3000000,158,2477.48,69,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410152200PE,52200.00,8.30,24.15,1.00,1.30,,1.3000000,569,8911.01,277,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410152300PE,52300.00,8.20,9.20,1.10,1.40,,1.4000000,1018,15973.14,403,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410152400PE,52400.00,9.70,14.95,1.15,2.25,,2.2500000,989,15555.95,300,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410152500PE,52500.00,9.00,10.05,1.95,2.60,,2.6000000,11093,174735.15,2377,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410152600PE,52600.00,10.35,10.35,1.60,2.90,,2.9000000,556,8774.43,119,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410152700PE,52700.00,12.55,14.25,1.65,3.15,,3.1500000,764,12079.82,86,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410152800PE,52800.00,13.85,16.75,1.55,4.20,,4.2000000,1387,21972.20,485,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410152900PE,52900.00,6.75,18.00,3.05,4.55,,4.5500000,1013,16078.18,213,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410153000PE,53000.00,15.45,18.65,3.70,4.95,,4.9500000,12273,195172.63,3224,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410153100PE,53100.00,24.45,25.75,4.40,5.55,,5.5500000,3417,54440.66,727,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410153200PE,53200.00,17.95,27.95,4.90,6.15,,6.1500000,3848,61424.69,602,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410153300PE,53300.00,22.95,35.10,5.50,7.00,,7.0000000,6348,101525.86,1293,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410153400PE,53400.00,35.65,41.05,6.65,9.00,,9.0000000,5827,93372.21,651,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410153500PE,53500.00,33.00,45.30,8.05,11.45,,11.4500000,20498,329125.98,1853,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410153600PE,53600.00,40.30,59.40,9.00,14.50,,14.5000000,11483,184739.33,1117,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410153700PE,53700.00,69.00,75.70,10.60,19.40,,19.4000000,11860,191185.00,1073,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410153800PE,53800.00,60.00,94.60,13.50,25.10,,25.1000000,18004,290790.86,1314,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410153900PE,53900.00,104.35,110.35,17.25,32.60,,32.6000000,13315,215511.33,1212,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410154000PE,54000.00,100.00,132.90,24.65,41.60,,41.6000000,44837,727359.76,1918,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410154100PE,54100.00,106.00,156.00,33.80,56.80,,56.8000000,18474,300322.63,1019,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410154200PE,54200.00,170.00,194.65,46.70,76.40,,76.4000000,24090,392552.87,1461,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410154300PE,54300.00,183.65,243.80,66.65,109.85,,109.8500000,20831,340321.69,1052,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410154400PE,54400.00,236.30,309.50,96.90,144.40,,144.4000000,14671,240339.53,616,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410154500PE,54500.00,225.95,377.15,132.90,190.05,,190.0500000,11482,188622.72,557,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410154600PE,54600.00,245.65,449.65,185.00,245.85,,245.8500000,2803,46172.04,216,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410154700PE,54700.00,297.80,529.25,239.90,309.40,,309.4000000,2011,33232.37,188,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410154800PE,54800.00,347.70,615.60,307.35,385.30,,385.3000000,1022,16946.20,66,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410154900PE,54900.00,401.00,713.25,384.30,470.65,,470.6500000,610,10152.46,66,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410155000PE,55000.00,588.45,802.45,469.50,559.70,,559.7000000,212,3537.29,36,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410155100PE,55100.00,669.55,889.55,558.40,638.20,,638.2000000,134,2252.31,19,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410155200PE,55200.00,732.40,883.90,693.30,792.10,,792.1000000,5,92.43,7,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410155300PE,55300.00,810.40,1045.40,810.40,1045.40,,940.6000000,6,109.54,3,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410155500PE,55500.00,0.00,0.00,0.00,1120.10,,1120.1000000,0,0.00,3,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410155700PE,55700.00,0.00,0.00,0.00,1307.20,,1307.2000000,0,0.00,0,-,54378.31
29/12/2023,08-Jan-2024,BANKEX2410853400PE,53400.00,177.10,177.10,117.85,117.85,,117.8500000,4,64.26,2,-,54378.31
29/12/2023,08-Jan-2024,BANKEX2410853500PE,53500.00,193.40,193.40,165.10,182.40,,201.7000000,2,32.21,1,-,54378.31
29/12/2023,08-Jan-2024,BANKEX2410853600PE,53600.00,218.60,218.60,212.55,212.55,,227.5000000,1,24.22,1,-,54378.31
29/12/2023,08-Jan-2024,BANKEX2410853700PE,53700.00,222.05,243.05,222.05,243.05,,255.7000000,1,16.18,1,-,54378.31
29/12/2023,08-Jan-2024,BANKEX2410853800PE,53800.00,242.20,242.20,242.20,242.20,,286.3500000,0,8.11,0,-,54378.31
29/12/2023,08-Jan-2024,BANKEX2410853900PE,53900.00,283.80,283.80,283.80,283.80,,319.5000000,0,8.13,0,-,54378.31
29/12/2023,08-Jan-2024,BANKEX2410854000PE,54000.00,320.90,320.90,304.00,304.00,,355.3500000,1,24.44,1,-,54378.31
29/12/2023,08-Jan-2024,BANKEX2410854100PE,54100.00,356.65,360.60,356.65,360.60,,393.8500000,1,16.34,1,-,54378.31
29/12/2023,08-Jan-2024,BANKEX2410854200PE,54200.00,423.50,423.50,378.65,394.55,,435.0500000,1,24.57,1,-,54378.31
29/12/2023,08-Jan-2024,BANKEX2410854300PE,54300.00,461.50,501.85,372.60,372.60,,372.6000000,11,188.83,3,-,54378.31
28/12/2023,01-Jan-2024,BANKEX2410151500PE,51500.00,3.75,12.10,3.75,6.10,,6.1000000,252,3901.58,194,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410151800PE,51800.00,5.00,5.00,5.00,5.00,,5.0000000,11,178.73,19,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410152000PE,52000.00,15.00,21.00,5.00,7.70,,7.7000000,665,10383.68,425,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410152100PE,52100.00,22.35,22.35,5.10,9.40,,9.4000000,109,1704.02,42,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410152200PE,52200.00,21.40,21.40,5.10,7.95,,7.9500000,65,1018.11,49,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410152300PE,52300.00,18.60,22.80,4.25,7.25,,7.2500000,79,1239.80,59,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410152400PE,52400.00,19.75,28.00,5.00,8.70,,8.7000000,152,2390.07,50,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410152500PE,52500.00,19.55,24.95,7.35,10.35,,10.3500000,1025,16148.04,374,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410152600PE,52600.00,20.40,27.60,8.00,10.60,,10.6000000,125,1980.96,58,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410152700PE,52700.00,21.75,30.65,10.05,12.55,,12.5500000,135,2135.12,25,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410152800PE,52800.00,25.20,33.95,6.35,12.90,,12.9000000,275,4357.83,89,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410152900PE,52900.00,29.05,40.40,6.75,14.45,,14.4500000,464,7375.06,75,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410153000PE,53000.00,39.00,45.45,11.00,15.45,,15.4500000,823,13100.19,180,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410153100PE,53100.00,47.75,51.00,13.15,16.00,,16.0000000,335,5339.47,63,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410153200PE,53200.00,57.90,57.90,13.35,17.55,,17.5500000,643,10267.95,143,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410153300PE,53300.00,46.20,67.05,12.00,21.80,,21.8000000,587,9393.56,79,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410153400PE,53400.00,67.90,80.00,22.00,27.80,,27.8000000,650,10430.45,83,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410153500PE,53500.00,78.00,90.40,26.00,31.70,,31.7000000,2165,34791.52,748,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410153600PE,53600.00,91.65,105.95,30.05,39.10,,39.1000000,650,10471.89,279,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410153700PE,53700.00,60.00,119.50,41.30,49.30,,49.3000000,678,10945.55,184,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410153800PE,53800.00,122.40,138.80,33.90,60.40,,60.4000000,1103,17839.57,285,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410153900PE,53900.00,71.40,159.50,59.35,72.30,,72.3000000,1610,26088.84,339,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410154000PE,54000.00,170.05,183.15,69.10,82.30,,82.3000000,7303,118557.16,1271,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410154100PE,54100.00,197.65,207.85,86.00,102.75,,102.7500000,1257,20450.57,326,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410154200PE,54200.00,214.00,238.50,109.90,126.80,,126.8000000,1579,25750.82,297,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410154300PE,54300.00,277.25,277.25,134.15,153.00,,153.0000000,1896,30993.32,179,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410154400PE,54400.00,325.00,325.00,162.95,183.50,,183.5000000,1942,31829.25,177,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410154500PE,54500.00,348.05,355.00,192.00,215.10,,215.1000000,3043,49990.11,268,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410154600PE,54600.00,400.90,401.30,226.65,251.95,,251.9500000,3134,51604.08,199,-,54666.44
