Date,Expiry,Series Code,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of Contracts,Notional Turnover,Open Interest,Change in OI,Underlying Value
31/12/2024,03-Jan-2025,SENSEX2510373200PE,73200.00,3.00,4.75,2.80,4.50,,4.5000000,7183,105172.11,1652,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510373300PE,73300.00,2.80,5.70,2.80,4.70,,4.7000000,856,12549.71,102,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510373400PE,73400.00,4.00,7.40,3.00,4.95,,4.9500000,1938,28451.62,179,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510373500PE,73500.00,3.80,6.00,2.50,5.00,,5.0000000,10813,158960.72,1308,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510373600PE,73600.00,7.65,7.65,3.10,4.90,,4.9000000,46,684.53,15,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510373900PE,73900.00,3.75,7.55,3.75,5.75,,5.7500000,49,724.28,16,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510374000PE,74000.00,3.40,6.75,2.65,6.05,,6.0500000,42296,626034.11,5773,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510374100PE,74100.00,4.05,8.15,4.05,5.95,,5.9500000,4954,73424.33,567,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510374300PE,74300.00,5.50,15.00,3.95,6.95,,6.9500000,5748,85430.53,720,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510374400PE,74400.00,12.40,12.40,5.20,7.55,,7.5500000,2380,35418.05,247,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510374500PE,74500.00,5.10,10.50,3.85,8.15,,8.1500000,46032,685958.31,4810,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510374600PE,74600.00,5.10,14.90,5.10,8.80,,8.8000000,4781,71348.57,571,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510374700PE,74700.00,7.10,14.00,6.15,9.25,,9.2500000,6653,99409.07,583,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510374800PE,74800.00,11.80,16.10,6.60,10.65,,10.6500000,8793,131570.56,649,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510374900PE,74900.00,8.90,18.60,6.15,10.95,,10.9500000,7498,112346.27,536,-,78139.01
