Date,Expiry,Series Code,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of Contracts,Notional Turnover,Open Interest,Change in OI,Underlying Value
29/12/2023,01-Jan-2024,BANKEX2410153000CE,53000.00,0.00,0.00,0.00,1417.60,,1417.6000000,0,0.00,1,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410153200CE,53200.00,0.00,0.00,0.00,1226.70,,1226.7000000,0,0.00,3,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410153300CE,53300.00,0.00,0.00,0.00,1133.45,,1133.4500000,0,0.00,4,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410153500CE,53500.00,310.55,1072.55,310.55,915.05,,915.0500000,154,2523.76,92,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410153600CE,53600.00,976.65,993.70,661.70,898.90,,898.9000000,210,3432.80,25,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410153700CE,53700.00,893.35,893.35,560.00,756.00,,756.0000000,14,236.77,23,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410153800CE,53800.00,644.65,748.20,469.95,642.60,,642.6000000,134,2194.74,47,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410153900CE,53900.00,622.00,679.35,388.80,582.00,,582.0000000,615,10044.89,65,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410154000CE,54000.00,854.50,854.50,314.25,487.00,,487.0000000,2680,43813.82,385,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410154100CE,54100.00,588.45,588.45,249.15,405.10,,405.1000000,1644,26876.32,124,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410154200CE,54200.00,651.80,651.80,195.00,321.50,,321.5000000,5020,82066.11,299,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410154300CE,54300.00,609.55,609.55,144.30,247.80,,247.8000000,12880,210765.40,991,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410154400CE,54400.00,548.55,548.55,106.50,194.20,,194.2000000,16679,273243.13,942,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410154500CE,54500.00,470.25,470.25,73.85,141.60,,141.6000000,25746,422180.46,1324,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410154600CE,54600.00,409.65,419.85,49.80,93.85,,93.8500000,18171,298240.56,1193,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410154700CE,54700.00,349.70,349.70,31.20,68.05,,68.0500000,27831,457360.24,2232,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410154800CE,54800.00,275.95,275.95,21.25,44.25,,44.2500000,23048,379294.56,2106,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410154900CE,54900.00,206.50,206.50,14.45,28.90,,28.9000000,20865,343890.75,1916,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410155000CE,55000.00,169.30,169.35,10.30,22.75,,22.7500000,51985,858229.12,3693,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410155100CE,55100.00,129.90,135.40,7.25,15.75,,15.7500000,19937,329694.00,1530,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410155200CE,55200.00,100.00,150.00,6.00,11.60,,11.6000000,36441,603661.48,2002,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410155300CE,55300.00,70.00,70.00,4.75,9.05,,9.0500000,21987,364862.28,1467,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410155400CE,55400.00,62.00,62.00,4.00,6.75,,6.7500000,22664,376763.92,1918,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410155500CE,55500.00,44.90,44.90,3.05,5.45,,5.4500000,35283,587566.00,4690,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410155600CE,55600.00,38.00,38.00,2.00,4.40,,4.4000000,7217,120404.45,947,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410155700CE,55700.00,43.00,43.00,2.50,3.60,,3.6000000,5546,92684.85,896,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410155800CE,55800.00,31.80,34.95,2.50,3.60,,3.6000000,6281,105153.92,1331,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410155900CE,55900.00,9.90,12.70,1.80,3.00,,3.0000000,3550,59538.67,623,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410156000CE,56000.00,10.45,11.15,1.65,2.70,,2.7000000,17890,300581.76,3567,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410156100CE,56100.00,19.05,19.55,1.45,2.65,,2.6500000,991,16688.05,186,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410156200CE,56200.00,15.00,15.00,1.15,2.10,,2.1000000,1440,24288.27,255,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410156300CE,56300.00,17.65,17.65,1.10,3.15,,3.1500000,652,11021.38,146,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410156400CE,56400.00,2.50,40.05,0.55,1.75,,1.7500000,1773,30000.56,227,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410156500CE,56500.00,9.50,9.50,0.75,1.80,,1.8000000,10364,175686.14,2720,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410156600CE,56600.00,6.05,7.90,1.05,1.75,,1.7500000,1133,19239.29,40,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410156700CE,56700.00,7.90,7.95,0.55,2.05,,2.0500000,63,1071.67,15,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410156800CE,56800.00,3.40,8.85,0.35,2.55,,2.5500000,83,1414.38,4,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410156900CE,56900.00,1.60,8.75,0.65,2.65,,2.6500000,95,1630.27,6,-,54378.31
29/12/2023,01-Jan-2024,BANKEX2410157000CE,57000.00,5.00,5.00,0.75,1.10,,1.1000000,3063,52387.66,497,-,54378.31
29/12/2023,08-Jan-2024,BANKEX2410854400CE,54400.00,479.00,590.20,479.00,493.60,,604.7000000,3,49.43,1,-,54378.31
29/12/2023,08-Jan-2024,BANKEX2410854500CE,54500.00,415.00,537.05,410.00,514.00,,514.0000000,12,206.17,2,-,54378.31
29/12/2023,08-Jan-2024,BANKEX2410854600CE,54600.00,414.00,460.60,360.05,454.60,,454.6000000,18,305.28,6,-,54378.31
29/12/2023,08-Jan-2024,BANKEX2410854700CE,54700.00,434.25,434.25,357.30,420.00,,420.0000000,2,41.32,2,-,54378.31
29/12/2023,08-Jan-2024,BANKEX2410854800CE,54800.00,421.55,421.55,304.60,304.60,,420.6500000,2,33.10,2,-,54378.31
29/12/2023,08-Jan-2024,BANKEX2410854900CE,54900.00,348.50,348.50,297.75,335.00,,381.5000000,2,33.13,2,-,54378.31
29/12/2023,08-Jan-2024,BANKEX2410855000CE,55000.00,324.05,324.05,233.55,233.55,,345.0000000,1,24.87,1,-,54378.31
29/12/2023,08-Jan-2024,BANKEX2410855100CE,55100.00,283.20,283.20,235.05,235.05,,311.1000000,1,24.91,1,-,54378.31
28/12/2023,01-Jan-2024,BANKEX2410153000CE,53000.00,0.00,0.00,0.00,1714.90,,1714.9000000,0,0.00,1,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410153200CE,53200.00,0.00,0.00,0.00,1522.30,,1522.3000000,0,0.00,3,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410153300CE,53300.00,0.00,0.00,0.00,1427.55,,1427.5500000,0,0.00,4,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410153500CE,53500.00,1336.80,1482.55,1189.90,1287.90,,1287.9000000,260,4275.52,158,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410153600CE,53600.00,1186.10,1274.30,1138.40,1198.65,,1198.6500000,13,213.78,150,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410153700CE,53700.00,1127.90,1177.60,1059.65,1107.15,,1107.1500000,22,370.08,27,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410153800CE,53800.00,1106.45,1131.90,965.50,1004.55,,1004.5500000,77,1266.84,63,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410153900CE,53900.00,1001.80,1080.25,865.60,922.75,,922.7500000,181,2986.38,54,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410154000CE,54000.00,779.50,1019.55,773.25,833.65,,833.6500000,2415,39756.43,425,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410154100CE,54100.00,777.00,916.55,701.00,760.05,,760.0500000,217,3572.97,90,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410154200CE,54200.00,703.30,821.95,637.10,667.55,,667.5500000,193,3187.91,157,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410154300CE,54300.00,497.05,779.65,497.05,609.55,,609.5500000,711,11727.46,73,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410154400CE,54400.00,470.80,722.15,461.35,535.15,,535.1500000,793,13077.03,83,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410154500CE,54500.00,455.05,643.95,431.70,470.20,,470.2000000,2466,40708.18,240,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410154600CE,54600.00,498.00,577.65,335.85,409.65,,409.6500000,3295,54423.53,230,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410154700CE,54700.00,350.00,509.80,293.80,349.70,,349.7000000,5334,88157.70,703,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410154800CE,54800.00,352.00,451.05,265.50,296.05,,296.0500000,3961,65519.70,260,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410154900CE,54900.00,270.00,394.15,215.30,246.70,,246.7000000,3147,52092.84,186,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410155000CE,55000.00,225.00,343.55,170.05,202.70,,202.7000000,4849,80352.31,793,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410155100CE,55100.00,175.00,295.55,142.30,168.40,,168.4000000,2727,45240.60,196,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410155200CE,55200.00,140.95,246.35,104.75,138.30,,138.3000000,4202,69787.30,218,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410155300CE,55300.00,150.00,212.10,79.70,112.80,,112.8000000,4440,73836.68,167,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410155400CE,55400.00,151.80,186.15,61.60,90.80,,90.8000000,2372,39509.42,166,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410155500CE,55500.00,81.15,162.55,44.95,69.95,,69.9500000,5992,99953.67,1135,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410155600CE,55600.00,122.95,136.70,37.50,54.30,,54.3000000,1615,26986.82,145,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410155700CE,55700.00,68.60,115.25,32.00,43.60,,43.6000000,1279,21396.83,211,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410155800CE,55800.00,49.00,98.55,19.00,34.45,,34.4500000,1526,25570.83,199,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410155900CE,55900.00,36.90,79.00,9.70,28.50,,28.5000000,1613,27080.34,129,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410156000CE,56000.00,30.60,69.95,16.75,23.05,,23.0500000,2974,50005.81,387,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410156100CE,56100.00,40.30,62.90,13.65,18.60,,18.6000000,182,3064.78,40,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410156200CE,56200.00,35.30,75.15,15.00,19.15,,19.1500000,64,1088.05,16,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410156300CE,56300.00,31.60,36.75,13.90,25.30,,25.3000000,23,397.09,8,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410156400CE,56400.00,2.65,32.90,2.65,20.45,,20.4500000,22,380.84,8,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410156500CE,56500.00,3.25,20.00,3.25,9.30,,9.3000000,954,16173.49,422,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410156600CE,56600.00,12.25,53.50,2.05,5.00,,5.0000000,62,1061.48,7,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410156700CE,56700.00,10.65,13.70,10.65,13.70,,13.7000000,1,25.52,0,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410156800CE,56800.00,10.10,13.30,10.10,13.30,,13.3000000,1,25.57,0,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410156900CE,56900.00,9.65,17.45,9.65,11.75,,11.7500000,5,85.37,3,-,54666.44
28/12/2023,01-Jan-2024,BANKEX2410157000CE,57000.00,6.50,14.90,3.80,8.30,,8.3000000,289,4951.24,192,-,54666.44
27/12/2023,01-Jan-2024,BANKEX2410153000CE,53000.00,1372.45,1649.10,1297.45,1649.10,,1649.1000000,2,32.67,1,-,54437.38
27/12/2023,01-Jan-2024,BANKEX2410153200CE,53200.00,0.00,0.00,0.00,1332.35,,1332.3500000,0,0.00,3,-,54437.38
27/12/2023,01-Jan-2024,BANKEX2410153300CE,53300.00,973.45,1325.00,745.40,1325.00,,1325.0000000,7,122.27,4,-,54437.38
27/12/2023,01-Jan-2024,BANKEX2410153500CE,53500.00,880.00,1234.15,808.70,1163.85,,1163.8500000,690,11272.63,357,-,54437.38
27/12/2023,01-Jan-2024,BANKEX2410153600CE,53600.00,797.70,1138.00,738.55,1063.65,,1063.6500000,186,3041.61,150,-,54437.38
27/12/2023,01-Jan-2024,BANKEX2410153700CE,53700.00,678.55,1041.70,668.85,984.35,,984.3500000,105,1717.76,36,-,54437.38
27/12/2023,01-Jan-2024,BANKEX2410153800CE,53800.00,603.85,976.70,530.15,904.25,,904.2500000,384,6286.56,79,-,54437.38
27/12/2023,01-Jan-2024,BANKEX2410153900CE,53900.00,530.00,896.25,530.00,831.70,,831.7000000,831,13611.60,124,-,54437.38
27/12/2023,01-Jan-2024,BANKEX2410154000CE,54000.00,470.00,820.00,400.00,757.25,,757.2500000,4021,65862.22,1319,-,54437.38
27/12/2023,01-Jan-2024,BANKEX2410154100CE,54100.00,459.90,738.85,411.55,669.00,,669.0000000,2060,33764.69,164,-,54437.38
27/12/2023,01-Jan-2024,BANKEX2410154200CE,54200.00,426.90,667.65,359.00,604.80,,604.8000000,2834,46502.70,173,-,54437.38
27/12/2023,01-Jan-2024,BANKEX2410154300CE,54300.00,364.90,600.00,305.70,541.50,,541.5000000,2800,45989.74,119,-,54437.38
27/12/2023,01-Jan-2024,BANKEX2410154400CE,54400.00,236.95,534.90,236.95,475.90,,475.9000000,1396,22953.08,145,-,54437.38
27/12/2023,01-Jan-2024,BANKEX2410154500CE,54500.00,233.90,470.10,220.60,425.75,,425.7500000,2879,47376.74,278,-,54437.38
27/12/2023,01-Jan-2024,BANKEX2410154600CE,54600.00,199.00,404.65,188.50,361.00,,361.0000000,1718,28295.57,165,-,54437.38
27/12/2023,01-Jan-2024,BANKEX2410154700CE,54700.00,152.65,347.75,152.65,308.85,,308.8500000,1555,25643.07,466,-,54437.38
27/12/2023,01-Jan-2024,BANKEX2410154800CE,54800.00,100.00,295.35,100.00,267.00,,267.0000000,1503,24802.05,173,-,54437.38
27/12/2023,01-Jan-2024,BANKEX2410154900CE,54900.00,118.85,255.70,106.75,226.35,,226.3500000,1576,26036.28,119,-,54437.38
27/12/2023,01-Jan-2024,BANKEX2410155000CE,55000.00,95.00,215.60,84.15,186.50,,186.5000000,4697,77710.98,490,-,54437.38
27/12/2023,01-Jan-2024,BANKEX2410155100CE,55100.00,77.65,183.75,51.75,162.60,,162.6000000,1509,24997.55,76,-,54437.38
27/12/2023,01-Jan-2024,BANKEX2410155200CE,55200.00,66.85,160.50,44.00,136.80,,136.8000000,1611,26734.36,78,-,54437.38
27/12/2023,01-Jan-2024,BANKEX2410155300CE,55300.00,65.75,130.70,45.00,116.90,,116.9000000,1532,25462.27,74,-,54437.38
27/12/2023,01-Jan-2024,BANKEX2410155400CE,55400.00,46.80,109.95,35.95,95.65,,95.6500000,1518,25261.06,92,-,54437.38
27/12/2023,01-Jan-2024,BANKEX2410155500CE,55500.00,44.10,93.60,27.20,78.80,,78.8000000,4624,77076.38,358,-,54437.38
27/12/2023,01-Jan-2024,BANKEX2410155600CE,55600.00,44.20,84.80,20.55,69.65,,69.6500000,278,4641.82,41,-,54437.38
27/12/2023,01-Jan-2024,BANKEX2410155700CE,55700.00,36.05,116.60,13.40,57.15,,57.1500000,184,3076.91,30,-,54437.38
27/12/2023,01-Jan-2024,BANKEX2410155800CE,55800.00,29.55,50.55,10.05,46.65,,46.6500000,222,3718.39,42,-,54437.38
27/12/2023,01-Jan-2024,BANKEX2410155900CE,55900.00,22.75,40.00,7.15,35.10,,35.1000000,267,4479.90,27,-,54437.38
27/12/2023,01-Jan-2024,BANKEX2410156000CE,56000.00,18.45,34.90,9.05,29.10,,29.1000000,304,5117.55,48,-,54437.38
27/12/2023,01-Jan-2024,BANKEX2410156500CE,56500.00,10.00,10.00,10.00,10.00,,10.0000000,49,839.17,49,-,54437.38
26/12/2023,01-Jan-2024,BANKEX2410153000CE,53000.00,0.00,0.00,0.00,1031.00,,1031.0000000,0,0.00,0,-,53851.86
26/12/2023,01-Jan-2024,BANKEX2410153200CE,53200.00,1134.40,1134.40,994.45,994.45,,994.4500000,7,114.06,3,-,53851.86
26/12/2023,01-Jan-2024,BANKEX2410153300CE,53300.00,980.45,1018.30,900.75,958.00,,958.0000000,2,40.69,1,-,53851.86
