Date,Expiry,Series Code,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of Contracts,Notional Turnover,Open Interest,Change in OI,Underlying Value
12/09/2025,30-Oct-2025,BANKEX25OCT58400CE,58400.00,3150.00,3950.00,3150.00,3525.00,,3915.9000000,14,260.50,0,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT58500CE,58500.00,0.00,0.00,0.00,3441.45,,3836.4500000,0,0.00,1,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT58600CE,58600.00,0.00,0.00,0.00,3348.55,,3757.7500000,0,0.00,1,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT58900CE,58900.00,0.00,0.00,0.00,3073.70,,3526.0000000,0,0.00,1,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT59000CE,59000.00,0.00,0.00,0.00,2983.50,,3450.3000000,0,0.00,1,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT59100CE,59100.00,4000.00,4000.00,2900.00,3001.00,,3375.4000000,14,261.80,1,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT59200CE,59200.00,0.00,0.00,0.00,2805.50,,3303.6000000,0,0.00,1,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT59300CE,59300.00,0.00,0.00,0.00,2717.80,,3230.1000000,0,0.00,1,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT59500CE,59500.00,3670.00,3670.00,2550.00,2550.00,,3083.2500000,22,411.67,1,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT59600CE,59600.00,2920.00,2920.00,2920.00,2920.00,,3012.5000000,1,18.76,1,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT59700CE,59700.00,0.00,0.00,0.00,2376.75,,2942.6000000,0,0.00,1,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT60000CE,60000.00,0.00,0.00,0.00,2132.60,,2738.2500000,0,0.00,2,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT60100CE,60100.00,2998.00,2998.00,850.00,850.00,,850.0000000,5,92.86,3,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT60200CE,60200.00,3090.00,3090.00,1956.00,1956.00,,2606.5000000,3,56.36,1,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT60300CE,60300.00,3000.00,3000.00,748.00,748.00,,2542.0000000,9,166.12,6,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT60500CE,60500.00,0.00,0.00,0.00,1751.70,,2415.8000000,0,0.00,1,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT60600CE,60600.00,0.00,0.00,0.00,1679.80,,2354.1000000,0,0.00,3,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT60700CE,60700.00,2151.00,2151.00,1573.00,1573.00,,2293.3500000,3,56.23,1,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT60800CE,60800.00,2250.00,2250.00,1429.00,1429.00,,2233.5500000,3,56.28,0,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT60900CE,60900.00,1876.00,1960.00,1130.00,1960.00,,2174.7000000,4,74.94,1,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT61100CE,61100.00,0.00,0.00,0.00,1344.05,,2059.9000000,0,0.00,3,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT61200CE,61200.00,2121.00,2121.00,1160.00,1236.00,,2003.9500000,3,56.44,0,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT61400CE,61400.00,0.00,0.00,0.00,1162.55,,1894.9000000,0,0.00,1,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT61500CE,61500.00,1233.00,1233.00,976.00,1042.00,,1841.8500000,3,56.33,1,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT61600CE,61600.00,1206.00,1206.00,803.00,963.00,,1789.7500000,5,93.85,2,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT61800CE,61800.00,1080.00,1080.00,810.00,810.00,,1688.5000000,2,37.65,0,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT61900CE,61900.00,841.00,841.00,631.00,631.00,,1639.1000000,2,37.58,0,-,61445.90
