Date,Expiry,Series Code,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of Contracts,Notional Turnover,Open Interest,Change in OI,Underlying Value
31/12/2024,24-Feb-2025,BANKEX25FEB55900PE,55900.00,828.20,828.20,332.00,332.00,,655.6500000,2,33.89,0,-,57741.99
31/12/2024,24-Feb-2025,BANKEX25FEB56100PE,56100.00,797.65,797.65,284.00,284.00,,713.4000000,2,33.98,0,-,57741.99
31/12/2024,24-Feb-2025,BANKEX25FEB56200PE,56200.00,955.00,955.00,383.00,600.00,,743.5500000,3,51.16,0,-,57741.99
31/12/2024,24-Feb-2025,BANKEX25FEB57600PE,57600.00,1998.00,1998.00,800.00,800.00,,1262.7500000,2,35.40,0,-,57741.99
31/12/2024,24-Feb-2025,BANKEX25FEB58600PE,58600.00,832.00,850.00,832.00,850.00,,1748.9000000,2,35.66,0,-,57741.99
31/12/2024,24-Feb-2025,BANKEX25FEB59500PE,59500.00,1303.00,1310.00,1303.00,1310.00,,2268.2000000,2,36.48,0,-,57741.99
31/12/2024,27-Jan-2025,BANKEX25JAN53900PE,53900.00,88.35,88.35,88.35,88.35,,78.3000000,0,8.10,0,-,57741.99
31/12/2024,27-Jan-2025,BANKEX25JAN55000PE,55000.00,0.00,0.00,0.00,190.40,,190.4000000,0,0.00,5,-,57741.99
31/12/2024,27-Jan-2025,BANKEX25JAN55300PE,55300.00,0.00,0.00,0.00,236.65,,236.6500000,0,0.00,1,-,57741.99
31/12/2024,27-Jan-2025,BANKEX25JAN55800PE,55800.00,605.00,605.00,605.00,605.00,,332.7000000,0,8.46,0,-,57741.99
31/12/2024,27-Jan-2025,BANKEX25JAN56000PE,56000.00,324.85,324.85,324.85,324.85,,378.4000000,1,25.35,1,-,57741.99
31/12/2024,27-Jan-2025,BANKEX25JAN56500PE,56500.00,404.35,413.85,356.00,378.85,,378.8500000,13,230.41,4,-,57741.99
31/12/2024,27-Jan-2025,BANKEX25JAN57000PE,57000.00,489.00,749.00,459.05,500.50,,500.5000000,303,5238.88,44,-,57741.99
31/12/2024,27-Jan-2025,BANKEX25JAN57100PE,57100.00,640.85,646.80,518.45,540.25,,540.2500000,18,311.42,3,-,57741.99
31/12/2024,27-Jan-2025,BANKEX25JAN57300PE,57300.00,694.30,759.65,520.15,601.95,,601.9500000,143,2495.12,6,-,57741.99
31/12/2024,27-Jan-2025,BANKEX25JAN57400PE,57400.00,850.00,900.00,619.25,633.85,,633.8500000,72,1255.09,8,-,57741.99
