Date,Expiry,Series Code,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of Contracts,Notional Turnover,Open Interest,Change in OI,Underlying Value
12/09/2025,30-Oct-2025,BANKEX25OCT58700PE,58700.00,0.00,0.00,0.00,68.20,,464.8500000,0,0.00,1,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT59500PE,59500.00,383.70,383.70,170.00,200.00,,661.9500000,4,71.68,0,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT59700PE,59700.00,0.00,0.00,0.00,181.10,,719.7500000,0,0.00,1,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT59800PE,59800.00,454.50,454.50,201.00,240.00,,749.9000000,4,72.10,0,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT59900PE,59900.00,416.00,416.00,168.00,168.00,,781.0000000,3,54.15,0,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT60000PE,60000.00,467.00,467.00,207.00,207.00,,812.9500000,3,54.28,0,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT60100PE,60100.00,524.00,524.00,261.00,330.00,,845.8500000,4,72.54,0,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT60200PE,60200.00,491.90,491.90,218.00,218.00,,879.6000000,3,54.47,2,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT60300PE,60300.00,619.15,619.15,250.00,250.00,,914.3500000,3,54.62,0,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT60500PE,60500.00,710.00,710.00,533.00,533.00,,986.5000000,2,36.67,0,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT60600PE,60600.00,961.00,961.00,385.00,385.00,,1024.0000000,3,55.07,0,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT60800PE,60800.00,719.00,719.00,380.00,423.00,,1101.8500000,8,147.11,1,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT60900PE,60900.00,1026.00,1026.00,428.00,428.00,,1142.2000000,5,92.27,2,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT61000PE,61000.00,939.00,939.00,450.00,450.00,,1183.5500000,6,110.85,1,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT61100PE,61100.00,987.00,987.00,476.00,476.00,,1225.8000000,3,55.59,1,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT61200PE,61200.00,1197.00,1197.00,568.00,568.00,,1269.0500000,6,111.50,0,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT61300PE,61300.00,1043.00,1043.00,735.00,735.00,,1313.2500000,4,74.62,1,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT61400PE,61400.00,1201.00,1201.00,850.00,850.00,,1358.4500000,4,74.90,1,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT61500PE,61500.00,1245.00,1245.00,870.00,870.00,,1404.6000000,4,75.06,1,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT61600PE,61600.00,1385.00,1385.00,770.00,770.00,,1451.7000000,3,56.33,1,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT61700PE,61700.00,0.00,0.00,0.00,786.00,,1499.8000000,0,0.00,1,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT61800PE,61800.00,1490.00,1490.00,709.00,709.00,,1548.8500000,5,94.11,0,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT61900PE,61900.00,1439.90,1439.90,812.00,840.00,,1598.6500000,6,113.20,1,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT62000PE,62000.00,1665.00,1665.00,889.00,889.00,,1649.6500000,5,94.68,2,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT62100PE,62100.00,1701.00,1701.00,1276.00,1276.00,,1701.6000000,2,38.15,0,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT62200PE,62200.00,1799.00,1799.00,906.00,906.00,,1754.5000000,3,57.09,0,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT62300PE,62300.00,1680.00,1680.00,1260.00,1260.00,,1808.4000000,2,38.26,1,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT62400PE,62400.00,1946.50,1946.50,1029.00,1029.00,,1863.2500000,3,57.40,0,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT62500PE,62500.00,2107.00,2107.00,894.00,894.00,,1919.0000000,3,57.51,0,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT62600PE,62600.00,1864.00,1864.00,1036.00,1340.00,,1340.0000000,3,57.55,0,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT62700PE,62700.00,2129.00,2129.00,1226.00,1226.00,,2033.4000000,3,57.81,0,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT62800PE,62800.00,2400.00,2400.00,1329.00,1329.00,,2092.0500000,3,58.09,0,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT62900PE,62900.00,2520.00,2520.00,1456.00,1456.00,,2151.5500000,3,58.29,0,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT63000PE,63000.00,2600.00,2600.00,565.00,565.00,,565.0000000,9,172.76,6,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT63100PE,63100.00,2783.00,2783.00,1587.00,1587.00,,2273.3500000,3,58.62,0,-,61445.90
12/09/2025,30-Oct-2025,BANKEX25OCT63300PE,63300.00,2940.00,2940.00,1560.00,1802.00,,2398.8000000,4,78.41,0,-,61445.90
