Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,13-Jun-2025,28-Aug-2025,CE,52400.00,-,-,-,4708.80,-,4387.65,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,26-Mar-2026,CE,64500.00,-,-,-,1342.40,-,1768.15,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,54300.00,1560.00,1615.00,1507.50,1550.00,1550.00,1550.00,18.00,-,-293.22,2910.00,-210.00,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,CE,56800.00,-,-,-,2063.40,-,1738.40,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,CE,53600.00,-,-,-,3857.80,-,3521.40,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,31-Jul-2025,CE,50800.00,-,-,-,5187.15,5187.15,5289.10,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,31-Jul-2025,CE,62000.00,46.00,53.20,40.20,43.75,41.25,43.75,1998.00,0.43,-43356.17,36855.00,-8750.00,55527.35
BANKNIFTY,13-Jun-2025,31-Jul-2025,CE,53700.00,-,-,-,3103.50,3103.50,2935.60,-,-,-,175.00,-,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,46700.00,-,-,-,4258.75,4258.75,8926.55,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,25-Sep-2025,CE,46500.00,-,-,-,11561.60,-,9901.50,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,CE,57900.00,-,-,-,1609.90,-,1307.20,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,52200.00,-,-,-,4450.00,4450.00,3473.40,-,-,-,2820.00,-,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,CE,61200.00,-,-,-,690.70,-,487.40,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,31-Jul-2025,CE,61300.00,-,-,-,247.95,247.95,201.80,-,-,-,70.00,-,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,48900.00,-,-,-,6913.75,6913.75,6731.35,-,-,-,30.00,-,55527.35
BANKNIFTY,13-Jun-2025,31-Jul-2025,CE,46000.00,9800.00,9800.00,9700.00,9704.45,9704.45,9704.45,6.00,-,-96.60,945.00,210.00,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,57800.00,78.50,93.20,67.35,71.40,71.20,71.40,17409.00,3.02,-301869.04,123090.00,9600.00,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,43500.00,-,-,-,11500.00,11500.00,12119.75,-,-,-,30.00,-,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,57400.00,100.15,137.90,100.15,109.20,107.95,109.20,11638.00,2.01,-200404.35,92250.00,-6540.00,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,52900.00,2901.85,2901.85,2901.85,2901.85,2901.85,2901.85,1.00,-,-15.87,330.00,30.00,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,CE,51900.00,-,-,-,5088.55,-,4776.00,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,CE,55100.00,-,-,-,2928.25,-,2586.80,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,57900.00,60.15,83.95,60.15,64.90,63.00,64.90,10160.00,1.77,-176477.43,77880.00,-10380.00,55527.35
BANKNIFTY,13-Jun-2025,31-Jul-2025,CE,46500.00,-,-,-,9613.05,-,9407.30,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,CE,63000.00,201.60,201.60,60.00,71.90,60.00,71.90,19.00,-,-418.95,525.00,455.00,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,61200.00,9.30,10.40,6.85,8.85,7.90,8.85,275.00,0.05,-5048.95,4110.00,630.00,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,52800.00,-,-,-,3049.25,3049.25,2911.80,-,-,-,2310.00,-,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,CE,60100.00,-,-,-,933.10,-,692.35,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,50500.00,5150.10,5250.00,5028.95,5031.70,5031.70,5137.45,7.00,-,-106.05,8250.00,-120.00,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,51700.00,-,-,-,5408.35,5408.35,3955.25,-,-,-,780.00,-,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,48700.00,-,-,-,7105.75,7105.75,6930.90,-,-,-,120.00,-,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,CE,53100.00,-,-,-,4203.30,-,3872.40,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,31-Jul-2025,CE,56100.00,1109.35,1149.15,1051.00,1083.15,1082.30,1083.15,280.00,0.06,-5497.74,4935.00,1645.00,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,60100.00,13.00,15.95,9.35,12.35,12.50,12.35,2154.00,0.39,-38836.23,26190.00,-13890.00,55527.35
BANKNIFTY,13-Jun-2025,31-Jul-2025,CE,52500.00,3600.65,3710.85,3518.10,3598.30,3579.85,3598.30,138.00,0.03,-2535.72,3045.00,350.00,55527.35
BANKNIFTY,13-Jun-2025,31-Jul-2025,CE,54900.00,-,-,-,2832.60,2832.60,2160.30,-,-,-,140.00,-,55527.35
BANKNIFTY,13-Jun-2025,25-Sep-2025,CE,51000.00,-,-,-,5600.00,5600.00,5898.90,-,-,-,2310.00,-,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,CE,59500.00,-,-,-,1088.05,-,832.35,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,26-Mar-2026,CE,48000.00,-,-,-,8169.35,-,10376.15,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,CE,51000.00,-,-,-,5806.10,-,5511.20,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,31-Jul-2025,CE,56400.00,1088.95,1088.95,919.95,949.15,952.70,949.15,244.00,0.05,-4816.51,2590.00,175.00,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,47900.00,-,-,-,4511.60,4511.60,7729.10,-,-,-,60.00,-,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,51900.00,-,-,-,4040.65,4040.65,3761.35,-,-,-,1230.00,-,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,54000.00,1860.05,1945.00,1701.15,1784.80,1832.30,1784.80,5815.00,0.97,-94202.03,207480.00,-48810.00,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,CE,57400.00,-,-,-,1806.00,-,1492.15,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,CE,59900.00,-,-,-,980.95,-,738.45,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,48000.00,7600.05,7700.10,7500.00,7583.35,7600.00,7583.35,73.00,0.01,-1051.19,25320.00,-1020.00,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,CE,57700.00,-,-,-,1686.35,-,1379.05,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,CE,54300.00,-,-,-,3404.95,-,3064.00,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,54900.00,1107.05,1199.00,1024.25,1090.05,1086.70,1090.05,966.00,0.16,-15909.86,9780.00,1080.00,55527.35
BANKNIFTY,13-Jun-2025,31-Jul-2025,CE,52300.00,-,-,-,4405.70,4405.70,4000.00,-,-,-,70.00,-,55527.35
BANKNIFTY,13-Jun-2025,31-Jul-2025,CE,61500.00,-,-,-,663.75,-,183.55,-,-,-,-,-,55527.35
