Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,31-Mar-2023,25-May-2023,CE,38700.00,-,-,-,1873.70,1873.70,2943.45,-,-,-,25.00,-,40608.65
BANKNIFTY,31-Mar-2023,25-May-2023,CE,33500.00,-,-,-,7211.50,-,7501.65,-,-,-,-,-,40608.65
BANKNIFTY,31-Mar-2023,25-May-2023,CE,37900.00,-,-,-,3615.55,-,3539.30,-,-,-,-,-,40608.65
BANKNIFTY,31-Mar-2023,25-May-2023,CE,34500.00,-,-,-,6311.10,-,6538.80,-,-,-,-,-,40608.65
BANKNIFTY,31-Mar-2023,25-May-2023,CE,38100.00,-,-,-,3480.10,-,3385.00,-,-,-,-,-,40608.65
BANKNIFTY,31-Mar-2023,29-Jun-2023,CE,33000.00,-,-,-,5047.20,-,8261.85,-,-,-,-,-,40608.65
BANKNIFTY,31-Mar-2023,25-May-2023,CE,42000.00,335.00,506.75,335.00,491.00,486.55,491.00,3780.00,0.40,-39689.60,77925.00,28050.00,40608.65
BANKNIFTY,31-Mar-2023,25-May-2023,CE,39600.00,1700.00,1700.00,1700.00,1700.00,1700.00,2340.05,1.00,-,-9.90,200.00,-,40608.65
BANKNIFTY,31-Mar-2023,25-May-2023,CE,44000.00,76.00,104.80,76.00,99.15,96.00,99.15,2289.00,0.25,-25178.75,34750.00,13350.00,40608.65
BANKNIFTY,31-Mar-2023,29-Jun-2023,CE,39000.00,2390.00,2590.00,2390.00,2589.50,2590.00,2589.50,70.00,0.01,-682.49,5650.00,-525.00,40608.65
BANKNIFTY,31-Mar-2023,29-Jun-2023,CE,38000.00,-,-,-,3456.65,-,3974.40,-,-,-,-,-,40608.65
BANKNIFTY,31-Mar-2023,29-Jun-2023,CE,39900.00,-,-,-,2311.05,-,2726.75,-,-,-,-,-,40608.65
BANKNIFTY,31-Mar-2023,29-Jun-2023,CE,34500.00,-,-,-,4342.80,-,6868.40,-,-,-,-,-,40608.65
BANKNIFTY,31-Mar-2023,20-Apr-2023,CE,39800.00,965.70,1085.40,965.70,1085.40,1085.40,1477.95,4.00,-,-39.80,475.00,-25.00,40608.65
BANKNIFTY,31-Mar-2023,20-Apr-2023,CE,35000.00,-,-,-,4453.10,-,5751.45,-,-,-,-,-,40608.65
BANKNIFTY,31-Mar-2023,20-Apr-2023,CE,36900.00,-,-,-,2806.20,-,3892.55,-,-,-,-,-,40608.65
BANKNIFTY,31-Mar-2023,20-Apr-2023,CE,40600.00,586.40,659.95,543.40,622.05,620.00,622.05,22.00,-,-223.30,275.00,275.00,40608.65
BANKNIFTY,31-Mar-2023,20-Apr-2023,CE,38500.00,-,-,-,1627.80,1625.85,2449.35,-,-,-,625.00,-,40608.65
BANKNIFTY,31-Mar-2023,20-Apr-2023,CE,41300.00,-,-,-,398.55,398.55,690.90,-,-,-,50.00,-,40608.65
BANKNIFTY,31-Mar-2023,20-Apr-2023,CE,41400.00,-,-,-,483.75,-,651.90,-,-,-,-,-,40608.65
