Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,31-Dec-2024,26-Feb-2025,CE,51700.00,1186.45,1226.50,1126.50,1223.25,1223.50,1223.25,53.00,0.01,-822.02,3750.00,360.00,50860.20
BANKNIFTY,31-Dec-2024,26-Feb-2025,CE,50900.00,1601.80,1722.30,1599.80,1703.30,1695.95,1703.30,152.00,0.02,-2321.02,8190.00,720.00,50860.20
BANKNIFTY,31-Dec-2024,26-Feb-2025,CE,51100.00,1547.45,1577.70,1441.50,1573.00,1574.80,1573.00,69.00,0.01,-1057.76,6000.00,-600.00,50860.20
BANKNIFTY,31-Dec-2024,26-Feb-2025,CE,53600.00,425.00,456.30,421.00,445.25,456.30,445.25,5.00,-,-80.40,1950.00,90.00,50860.20
BANKNIFTY,31-Dec-2024,26-Feb-2025,CE,61000.00,20.40,23.00,20.40,22.45,22.45,5.75,71.00,0.01,-1299.29,15360.00,540.00,50860.20
BANKNIFTY,31-Dec-2024,26-Mar-2025,CE,49700.00,-,-,-,3464.10,-,2762.90,-,-,-,-,-,50860.20
BANKNIFTY,31-Dec-2024,26-Mar-2025,CE,50100.00,-,-,-,3208.25,-,2506.55,-,-,-,-,-,50860.20
BANKNIFTY,31-Dec-2024,26-Mar-2025,CE,50500.00,2214.80,2410.75,2214.80,2385.80,2389.70,2385.80,75.00,0.01,-1136.24,600.00,600.00,50860.20
BANKNIFTY,31-Dec-2024,26-Mar-2025,CE,42000.00,-,-,-,8506.00,-,9521.55,-,-,-,-,-,50860.20
BANKNIFTY,31-Dec-2024,26-Feb-2025,CE,43500.00,-,-,-,9632.55,-,7822.35,-,-,-,-,-,50860.20
BANKNIFTY,31-Dec-2024,26-Mar-2025,CE,51300.00,-,-,-,2510.90,-,1826.10,-,-,-,-,-,50860.20
