Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,12-Sep-2025,28-Oct-2025,CE,53400.00,-,-,-,1638.25,1635.75,2456.95,-,-,-,70.00,-,54809.30
BANKNIFTY,12-Sep-2025,28-Oct-2025,CE,52700.00,-,-,-,2065.45,2065.45,2962.95,-,-,-,70.00,-,54809.30
BANKNIFTY,12-Sep-2025,25-Nov-2025,CE,54800.00,-,-,-,1847.95,-,2103.85,-,-,-,-,-,54809.30
BANKNIFTY,12-Sep-2025,25-Nov-2025,CE,50700.00,-,-,-,4400.75,-,5006.45,-,-,-,-,-,54809.30
BANKNIFTY,12-Sep-2025,25-Nov-2025,CE,46000.00,-,-,-,8547.20,-,9387.75,-,-,-,-,-,54809.30
BANKNIFTY,12-Sep-2025,25-Nov-2025,CE,49300.00,-,-,-,5539.25,-,6243.85,-,-,-,-,-,54809.30
BANKNIFTY,12-Sep-2025,25-Nov-2025,CE,46500.00,-,-,-,8072.15,-,8900.25,-,-,-,-,-,54809.30
BANKNIFTY,12-Sep-2025,25-Nov-2025,CE,51900.00,-,-,-,3521.35,-,4028.00,-,-,-,-,-,54809.30
BANKNIFTY,12-Sep-2025,28-Oct-2025,CE,55100.00,810.00,926.10,810.00,883.50,894.10,883.50,61.00,0.01,-1176.37,4340.00,-280.00,54809.30
BANKNIFTY,12-Sep-2025,28-Oct-2025,CE,52500.00,2775.00,2785.00,2775.00,2785.00,2785.00,3115.95,2.00,-,-36.75,945.00,-,54809.30
BANKNIFTY,12-Sep-2025,28-Oct-2025,CE,55600.00,611.00,662.70,581.00,627.35,625.00,627.35,50.00,0.01,-972.99,5110.00,70.00,54809.30
BANKNIFTY,12-Sep-2025,28-Oct-2025,CE,55000.00,925.00,983.00,860.50,939.30,941.75,939.30,2501.00,0.49,-48143.76,160230.00,16450.00,54809.30
BANKNIFTY,12-Sep-2025,28-Oct-2025,CE,53700.00,1834.40,1834.40,1834.40,1834.40,1834.40,2255.60,1.00,-,-18.79,1470.00,-35.00,54809.30
BANKNIFTY,12-Sep-2025,25-Nov-2025,CE,52300.00,-,-,-,3251.40,-,3722.80,-,-,-,-,-,54809.30
BANKNIFTY,12-Sep-2025,25-Nov-2025,CE,56600.00,-,-,-,1142.80,-,1275.45,-,-,-,-,-,54809.30
BANKNIFTY,12-Sep-2025,25-Nov-2025,CE,58100.00,-,-,-,732.45,-,791.30,-,-,-,-,-,54809.30
BANKNIFTY,12-Sep-2025,25-Nov-2025,CE,56800.00,-,-,-,1079.15,-,1200.65,-,-,-,-,-,54809.30
BANKNIFTY,12-Sep-2025,25-Nov-2025,CE,54600.00,-,-,-,1550.00,1550.00,2213.55,-,-,-,280.00,-,54809.30
BANKNIFTY,12-Sep-2025,25-Nov-2025,CE,52100.00,-,-,-,3384.85,-,3874.00,-,-,-,-,-,54809.30
BANKNIFTY,12-Sep-2025,25-Nov-2025,CE,58700.00,-,-,-,603.20,-,646.70,-,-,-,-,-,54809.30
BANKNIFTY,12-Sep-2025,25-Nov-2025,CE,49800.00,-,-,-,5120.20,-,5792.15,-,-,-,-,-,54809.30
BANKNIFTY,12-Sep-2025,25-Nov-2025,CE,48900.00,-,-,-,5883.25,-,6611.75,-,-,-,-,-,54809.30
BANKNIFTY,12-Sep-2025,25-Nov-2025,CE,50100.00,-,-,-,4875.15,-,5526.00,-,-,-,-,-,54809.30
BANKNIFTY,12-Sep-2025,25-Nov-2025,CE,49700.00,-,-,-,5202.95,-,5881.70,-,-,-,-,-,54809.30
BANKNIFTY,12-Sep-2025,25-Nov-2025,CE,48500.00,-,-,-,6234.35,-,6984.55,-,-,-,-,-,54809.30
BANKNIFTY,12-Sep-2025,25-Nov-2025,CE,47500.00,-,-,-,7138.45,-,7933.75,-,-,-,-,-,54809.30
BANKNIFTY,12-Sep-2025,30-Dec-2025,CE,64500.00,-,-,-,1454.20,-,173.80,-,-,-,-,-,54809.30
BANKNIFTY,12-Sep-2025,30-Dec-2025,CE,51000.00,5006.00,5080.00,5006.00,5080.00,5080.00,5080.00,6.00,-,-107.10,3635.00,35.00,54809.30
BANKNIFTY,12-Sep-2025,31-Mar-2026,CE,49500.00,-,-,-,7170.45,-,7471.35,-,-,-,-,-,54809.30
BANKNIFTY,12-Sep-2025,31-Mar-2026,CE,55500.00,-,-,-,3965.00,-,3452.00,-,-,-,-,-,54809.30
BANKNIFTY,12-Sep-2025,30-Jun-2026,CE,52500.00,-,-,-,9214.60,-,6256.20,-,-,-,-,-,54809.30
BANKNIFTY,12-Sep-2025,30-Jun-2026,CE,63000.00,-,-,-,3602.85,-,1610.25,-,-,-,-,-,54809.30
BANKNIFTY,12-Sep-2025,30-Sep-2025,CE,52500.00,2482.35,2535.00,2462.00,2526.65,2524.95,2526.65,30.00,0.01,-551.24,24575.00,-225.00,54809.30
BANKNIFTY,12-Sep-2025,30-Sep-2025,CE,56500.00,59.70,74.95,52.25,59.60,56.65,59.60,28722.00,5.69,-567971.86,676760.00,-27965.00,54809.30
BANKNIFTY,12-Sep-2025,30-Sep-2025,CE,51800.00,-,-,-,3070.00,3070.00,3222.60,-,-,-,770.00,-,54809.30
BANKNIFTY,12-Sep-2025,30-Sep-2025,CE,62100.00,3.00,3.85,2.60,3.35,3.40,3.35,605.00,0.13,-13149.54,11200.00,9485.00,54809.30
BANKNIFTY,12-Sep-2025,30-Sep-2025,CE,50600.00,-,-,-,7557.45,-,4371.25,-,-,-,-,-,54809.30
BANKNIFTY,12-Sep-2025,30-Sep-2025,CE,49100.00,-,-,-,8939.50,-,5854.45,-,-,-,-,-,54809.30
BANKNIFTY,12-Sep-2025,30-Sep-2025,CE,57100.00,26.05,31.80,22.60,25.50,25.40,25.50,3434.00,0.69,-68627.80,101430.00,-2975.00,54809.30
BANKNIFTY,12-Sep-2025,30-Sep-2025,CE,55100.00,401.25,472.35,364.10,425.20,418.20,425.20,31679.00,6.16,-610923.36,156030.00,34020.00,54809.30
BANKNIFTY,12-Sep-2025,30-Sep-2025,CE,51000.00,3946.40,4058.00,3931.00,4000.50,4001.00,4000.50,16.00,-,-285.60,37085.00,-,54809.30
BANKNIFTY,12-Sep-2025,30-Sep-2025,CE,46000.00,-,-,-,11918.90,-,8944.10,-,-,-,-,-,54809.30
BANKNIFTY,12-Sep-2025,30-Sep-2025,CE,49500.00,-,-,-,4930.45,4930.45,5456.90,-,-,-,665.00,-,54809.30
BANKNIFTY,12-Sep-2025,30-Sep-2025,CE,53100.00,1891.85,1980.00,1858.30,1964.25,1963.60,1964.25,33.00,0.01,-613.30,3220.00,-210.00,54809.30
BANKNIFTY,12-Sep-2025,30-Sep-2025,CE,57300.00,21.05,25.00,17.05,20.15,17.25,20.15,2130.00,0.43,-42716.72,52535.00,5005.00,54809.30
BANKNIFTY,12-Sep-2025,30-Sep-2025,CE,52900.00,2100.00,2100.00,2100.00,2100.00,2100.00,2251.75,4.00,-,-74.06,2695.00,-140.00,54809.30
BANKNIFTY,12-Sep-2025,30-Sep-2025,CE,60900.00,4.90,5.25,4.00,4.80,4.35,4.80,15.00,-,-319.72,1645.00,-,54809.30
BANKNIFTY,12-Sep-2025,30-Sep-2025,CE,58300.00,7.85,11.15,6.50,8.90,8.35,8.90,429.00,0.09,-8753.66,20475.00,35.00,54809.30
BANKNIFTY,12-Sep-2025,30-Sep-2025,CE,61000.00,3.95,4.60,3.65,4.00,3.90,4.00,1999.00,0.43,-42678.22,123165.00,-3990.00,54809.30
BANKNIFTY,12-Sep-2025,30-Sep-2025,CE,57400.00,18.00,22.40,15.80,18.10,16.65,18.10,2232.00,0.45,-44840.43,40845.00,-3605.00,54809.30
BANKNIFTY,12-Sep-2025,30-Sep-2025,CE,51400.00,-,-,-,6847.35,-,3598.50,-,-,-,-,-,54809.30
BANKNIFTY,12-Sep-2025,30-Sep-2025,CE,59300.00,7.20,7.60,5.60,6.55,6.55,23.85,24.00,-,-498.12,4410.00,-315.00,54809.30
BANKNIFTY,12-Sep-2025,30-Sep-2025,CE,58900.00,7.90,9.95,6.35,6.80,6.45,6.80,167.00,0.03,-3442.67,8715.00,-560.00,54809.30
BANKNIFTY,12-Sep-2025,30-Sep-2025,CE,40500.00,-,-,-,13458.15,13458.15,14428.00,-,-,-,35.00,-,54809.30
BANKNIFTY,12-Sep-2025,30-Sep-2025,CE,57900.00,12.50,14.45,11.00,12.00,11.00,12.00,2116.00,0.43,-42880.31,16450.00,4900.00,54809.30
