Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,42700.00,19.45,19.45,7.25,13.00,16.55,13.00,171176.00,18.28,-1827285.52,423125.00,171900.00,-
BANKNIFTY,30-Jun-2023,13-Jul-2023,PE,45300.00,881.45,881.45,687.00,707.85,701.20,707.85,353.00,0.04,-3997.68,5250.00,5000.00,-
BANKNIFTY,30-Jun-2023,13-Jul-2023,PE,43500.00,110.05,125.00,71.85,75.85,77.05,75.85,27236.00,2.97,-296188.53,177525.00,115950.00,-
BANKNIFTY,30-Jun-2023,13-Jul-2023,PE,41700.00,-,-,-,319.90,-,28.05,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,13-Jul-2023,PE,43900.00,190.00,217.50,120.00,125.45,123.10,125.45,6171.00,0.68,-67726.05,36850.00,12050.00,-
BANKNIFTY,30-Jun-2023,13-Jul-2023,PE,42000.00,21.00,28.75,15.30,19.75,27.75,19.75,1483.00,0.16,-15571.34,21400.00,21400.00,-
BANKNIFTY,30-Jun-2023,13-Jul-2023,PE,44600.00,456.65,497.50,302.70,316.70,311.00,316.70,21824.00,2.45,-243335.15,86750.00,83725.00,-
BANKNIFTY,30-Jun-2023,13-Jul-2023,PE,37500.00,-,-,-,8.15,-,-,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,13-Jul-2023,PE,45200.00,788.30,788.30,611.00,635.15,630.25,635.15,520.00,0.06,-5875.94,4575.00,4275.00,-
BANKNIFTY,30-Jun-2023,20-Jul-2023,PE,45000.00,675.00,715.00,568.70,595.40,583.30,595.40,270.00,0.03,-3037.47,3475.00,3475.00,-
BANKNIFTY,30-Jun-2023,20-Jul-2023,PE,45500.00,-,-,-,2286.45,-,1239.55,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,20-Jul-2023,PE,43600.00,-,-,-,1125.45,-,393.75,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,20-Jul-2023,PE,41500.00,-,-,-,376.05,-,59.00,-,-,-,-,-,-
