Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,28-Mar-2025,24-Apr-2025,PE,47300.00,58.00,58.00,31.95,37.90,37.55,37.90,2393.00,0.34,-33956.33,15810.00,7470.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,PE,44400.00,19.65,24.80,10.00,11.50,12.35,11.50,270.00,0.04,-3596.36,1320.00,660.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,PE,51100.00,489.65,537.45,397.80,454.30,453.95,454.30,35391.00,5.48,-542538.55,63750.00,19320.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,PE,46800.00,47.00,47.00,24.75,28.90,27.85,28.90,6598.00,0.93,-92634.99,28320.00,24330.00,-
BANKNIFTY,28-Mar-2025,29-May-2025,PE,49000.00,280.00,321.00,265.00,296.65,300.15,296.65,1639.00,0.24,-24093.06,60000.00,7560.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,PE,55000.00,3070.05,3400.00,2946.60,3198.80,3179.70,3198.80,1121.00,0.20,-18496.30,109230.00,2550.00,-
BANKNIFTY,28-Mar-2025,26-Jun-2025,PE,50100.00,-,-,-,983.80,-,732.85,-,-,-,-,-,-
BANKNIFTY,28-Mar-2025,26-Jun-2025,PE,52000.00,1322.05,1360.80,1247.65,1286.90,1300.00,1286.90,24.00,-,-374.40,600.00,600.00,-
BANKNIFTY,28-Mar-2025,29-May-2025,PE,58000.00,-,-,-,8351.25,-,5883.60,-,-,-,-,-,-
BANKNIFTY,28-Mar-2025,29-May-2025,PE,46500.00,97.90,106.05,83.60,94.10,95.65,94.10,151.00,0.02,-2106.43,24210.00,390.00,-
BANKNIFTY,28-Mar-2025,26-Mar-2026,PE,43500.00,-,-,-,443.90,-,241.30,-,-,-,-,-,-
BANKNIFTY,28-Mar-2025,24-Dec-2025,PE,54000.00,-,-,-,3602.35,-,2813.05,-,-,-,-,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,PE,45300.00,20.25,23.10,13.00,16.50,17.35,16.50,516.00,0.07,-7012.37,1230.00,-1290.00,-
BANKNIFTY,28-Mar-2025,26-Jun-2025,PE,48100.00,299.65,299.65,299.65,299.65,299.65,292.90,4.00,-,-57.72,120.00,120.00,-
BANKNIFTY,28-Mar-2025,29-May-2025,PE,53300.00,-,-,-,1748.65,1748.65,2039.05,-,-,-,150.00,-,-
BANKNIFTY,28-Mar-2025,26-Jun-2025,PE,45000.00,109.00,112.95,95.25,102.80,101.00,102.80,113.00,0.02,-1525.48,61860.00,120.00,-
BANKNIFTY,28-Mar-2025,29-May-2025,PE,59000.00,-,-,-,9292.00,-,6833.20,-,-,-,-,-,-
BANKNIFTY,28-Mar-2025,29-May-2025,PE,50600.00,625.95,639.45,610.75,618.10,612.00,618.10,37.00,0.01,-561.65,930.00,570.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,PE,54000.00,2214.95,2455.00,2040.00,2273.70,2266.40,2273.70,1853.00,0.31,-30018.29,197550.00,23070.00,-
BANKNIFTY,28-Mar-2025,26-Jun-2025,PE,55000.00,-,-,-,3482.50,-,3274.80,-,-,-,-,-,-
BANKNIFTY,28-Mar-2025,26-Jun-2025,PE,57000.00,-,-,-,4780.55,-,4858.70,-,-,-,-,-,-
