Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,31-Dec-2024,26-Mar-2025,PE,44500.00,-,-,-,119.85,-,49.30,-,-,-,-,-,50860.20
BANKNIFTY,31-Dec-2024,26-Mar-2025,PE,48600.00,-,-,-,717.40,-,520.85,-,-,-,-,-,50860.20
BANKNIFTY,31-Dec-2024,26-Mar-2025,PE,52700.00,-,-,-,2347.95,-,2220.20,-,-,-,-,-,50860.20
BANKNIFTY,31-Dec-2024,26-Mar-2025,PE,45000.00,125.00,128.10,119.95,125.00,125.00,125.00,47.00,0.01,-634.49,9240.00,360.00,50860.20
BANKNIFTY,31-Dec-2024,25-Jun-2025,PE,55500.00,-,-,-,4048.55,-,4127.55,-,-,-,-,-,50860.20
BANKNIFTY,31-Dec-2024,24-Sep-2025,PE,46500.00,-,-,-,695.05,-,604.15,-,-,-,-,-,50860.20
BANKNIFTY,31-Dec-2024,26-Mar-2025,PE,61500.00,-,-,-,8508.95,8508.95,9706.10,-,-,-,1620.00,-,50860.20
BANKNIFTY,31-Dec-2024,24-Sep-2025,PE,55500.00,-,-,-,3040.65,3040.65,4056.55,-,-,-,180.00,-,50860.20
BANKNIFTY,31-Dec-2024,31-Dec-2025,PE,45000.00,-,-,-,791.95,-,501.65,-,-,-,-,-,50860.20
BANKNIFTY,31-Dec-2024,31-Dec-2025,PE,48000.00,-,-,-,1438.90,-,1058.65,-,-,-,-,-,50860.20
BANKNIFTY,31-Dec-2024,31-Dec-2025,PE,51000.00,-,-,-,2366.70,-,1946.60,-,-,-,-,-,50860.20
BANKNIFTY,31-Dec-2024,25-Jun-2025,PE,49500.00,881.60,910.00,845.00,859.00,859.00,859.00,17.00,-,-252.45,5160.00,300.00,50860.20
BANKNIFTY,31-Dec-2024,24-Sep-2025,PE,51000.00,-,-,-,1400.00,1400.00,1837.90,-,-,-,-,-,50860.20
