Date,Expiry,Series Code,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of Contracts,Notional Turnover,Open Interest,Change in OI,Underlying Value
29/12/2023,29-Dec-2023,SENSEX23DEC68000CE,68000.00,4283.00,4283.00,4168.75,72240.26,,72240.2600000,10,151.67,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC68500CE,68500.00,3783.05,3783.05,3729.15,72240.26,,72240.2600000,20,289.07,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC68600CE,68600.00,3683.15,3683.15,3626.45,72240.26,,72240.2600000,6,93.91,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC68700CE,68700.00,3583.15,3583.15,3500.70,72240.26,,72240.2600000,24,354.01,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC68800CE,68800.00,3483.05,3483.05,3429.20,72240.26,,72240.2600000,28,404.62,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC68900CE,68900.00,3383.10,3383.10,3329.25,72240.26,,72240.2600000,20,289.02,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC69100CE,69100.00,0.00,0.00,0.00,72240.26,,72240.2600000,0,0.00,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC69300CE,69300.00,0.00,0.00,0.00,72240.26,,72240.2600000,0,0.00,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC69400CE,69400.00,2921.35,2921.35,2862.20,72240.26,,72240.2600000,4,57.85,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC69500CE,69500.00,2601.15,2809.05,2601.15,72240.26,,72240.2600000,4,64.98,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC69600CE,69600.00,0.00,0.00,0.00,72240.26,,72240.2600000,0,0.00,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC69700CE,69700.00,0.00,0.00,0.00,72240.26,,72240.2600000,0,0.00,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC69800CE,69800.00,0.00,0.00,0.00,72240.26,,72240.2600000,0,0.00,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC69900CE,69900.00,2323.65,2323.65,2323.65,72240.26,,72240.2600000,1,14.44,0,-,72240.26
