Date,Expiry,Series Code,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of Contracts,Notional Turnover,Open Interest,Change in OI,Underlying Value
17/01/2025,21-Jan-2025,SENSEX2512171300PE,71300.00,2.15,2.30,1.15,1.30,,1.3000000,56188,801261.15,14924,-,76619.33
17/01/2025,21-Jan-2025,SENSEX2512171400PE,71400.00,2.95,2.95,1.50,2.05,,2.0500000,117,1670.81,75,-,76619.33
17/01/2025,21-Jan-2025,SENSEX2512171500PE,71500.00,2.00,2.45,1.30,1.45,,1.4500000,42303,604949.14,7214,-,76619.33
17/01/2025,21-Jan-2025,SENSEX2512171600PE,71600.00,2.25,2.85,1.65,1.80,,1.8000000,64,916.51,21,-,76619.33
17/01/2025,21-Jan-2025,SENSEX2512171700PE,71700.00,2.45,3.40,1.25,1.75,,1.7500000,5728,82142.10,630,-,76619.33
17/01/2025,21-Jan-2025,SENSEX2512171800PE,71800.00,3.15,3.15,1.40,1.65,,1.6500000,3162,45407.75,332,-,76619.33
17/01/2025,21-Jan-2025,SENSEX2512171900PE,71900.00,2.40,4.90,1.60,2.00,,2.0000000,3739,53768.63,586,-,76619.33
17/01/2025,21-Jan-2025,SENSEX2512172000PE,72000.00,2.15,3.20,1.50,1.85,,1.8500000,63134,909159.99,8265,-,76619.33
17/01/2025,21-Jan-2025,SENSEX2512172100PE,72100.00,2.45,3.30,1.45,1.90,,1.9000000,3294,47501.15,514,-,76619.33
17/01/2025,21-Jan-2025,SENSEX2512172200PE,72200.00,2.70,3.40,1.40,1.90,,1.9000000,7287,105228.01,804,-,76619.33
17/01/2025,21-Jan-2025,SENSEX2512172300PE,72300.00,2.85,3.60,1.65,1.95,,1.9500000,4351,62917.81,410,-,76619.33
17/01/2025,21-Jan-2025,SENSEX2512172400PE,72400.00,2.95,3.75,1.80,2.30,,2.3000000,8556,123895.79,1635,-,76619.33
17/01/2025,21-Jan-2025,SENSEX2512172500PE,72500.00,2.35,4.30,1.80,2.30,,2.3000000,115669,1677273.14,14607,-,76619.33
17/01/2025,21-Jan-2025,SENSEX2512172600PE,72600.00,2.35,4.60,1.45,2.10,,2.1000000,12644,183599.08,1206,-,76619.33
17/01/2025,21-Jan-2025,SENSEX2512172700PE,72700.00,4.00,5.30,1.60,2.25,,2.2500000,28172,409640.07,2118,-,76619.33
17/01/2025,21-Jan-2025,SENSEX2512172800PE,72800.00,4.75,5.45,1.85,2.50,,2.5000000,19338,281576.36,1828,-,76619.33
17/01/2025,21-Jan-2025,SENSEX2512172900PE,72900.00,1.75,5.80,1.60,2.70,,2.7000000,20174,294154.28,1451,-,76619.33
17/01/2025,21-Jan-2025,SENSEX2512173000PE,73000.00,3.00,6.40,2.35,2.70,,2.7000000,210172,3068696.46,18365,-,76619.33
17/01/2025,21-Jan-2025,SENSEX2512173100PE,73100.00,5.00,7.05,2.20,2.70,,2.7000000,21207,310066.35,1636,-,76619.33
17/01/2025,21-Jan-2025,SENSEX2512173200PE,73200.00,3.50,7.80,2.50,2.90,,2.9000000,18763,274709.14,1692,-,76619.33
17/01/2025,21-Jan-2025,SENSEX2512173300PE,73300.00,5.60,8.90,2.60,3.10,,3.1000000,26241,384724.46,1999,-,76619.33
17/01/2025,21-Jan-2025,SENSEX2512173400PE,73400.00,4.75,10.20,2.70,3.30,,3.3000000,45976,674984.14,3008,-,76619.33
