Date,Expiry,Series Code,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of Contracts,Notional Turnover,Open Interest,Change in OI,Underlying Value
29/12/2023,29-Dec-2023,SENSEX23DEC60000PE,60000.00,0.50,0.50,0.05,72240.26,,72240.2600000,367,4410.02,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC61100PE,61100.00,0.50,0.50,0.50,72240.26,,72240.2600000,0,6.11,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC61400PE,61400.00,0.50,0.50,0.50,72240.26,,72240.2600000,0,6.14,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC62000PE,62000.00,0.50,0.50,0.05,72240.26,,72240.2600000,1,18.60,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC62200PE,62200.00,0.50,2.45,0.15,72240.26,,72240.2600000,5,62.20,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC65000PE,65000.00,0.50,0.50,0.05,72240.26,,72240.2600000,67,871.00,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC66400PE,66400.00,0.15,0.25,0.15,72240.26,,72240.2600000,3,39.84,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC67000PE,67000.00,0.65,0.80,0.05,72240.26,,72240.2600000,802,10746.85,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC67100PE,67100.00,1.80,1.80,0.05,72240.26,,72240.2600000,20,275.11,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC67200PE,67200.00,0.45,0.45,0.10,72240.26,,72240.2600000,111,1491.85,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC67500PE,67500.00,0.75,0.85,0.05,72240.26,,72240.2600000,6047,81641.62,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC67600PE,67600.00,0.35,0.60,0.05,72240.26,,72240.2600000,181,2453.89,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC67700PE,67700.00,1.45,1.45,0.05,72240.26,,72240.2600000,45,616.07,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC67800PE,67800.00,0.45,0.45,0.10,72240.26,,72240.2600000,21,284.76,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC67900PE,67900.00,0.85,0.85,0.05,72240.26,,72240.2600000,278,3775.27,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC68000PE,68000.00,0.85,1.15,0.05,72240.26,,72240.2600000,12432,169082.92,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC68100PE,68100.00,0.40,0.70,0.05,72240.26,,72240.2600000,326,4446.95,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC68200PE,68200.00,0.60,1.50,0.05,72240.26,,72240.2600000,2224,30335.63,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC68300PE,68300.00,1.20,1.20,0.05,72240.26,,72240.2600000,520,7110.11,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC68400PE,68400.00,0.95,0.95,0.05,72240.26,,72240.2600000,200,2742.85,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC68500PE,68500.00,1.00,1.10,0.05,72240.26,,72240.2600000,7245,99264.05,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC68600PE,68600.00,1.00,2.05,0.10,72240.26,,72240.2600000,344,4719.72,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC68700PE,68700.00,0.80,0.80,0.05,72240.26,,72240.2600000,222,3050.30,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC68800PE,68800.00,0.80,0.95,0.05,72240.26,,72240.2600000,827,11379.58,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC68900PE,68900.00,0.95,0.95,0.05,72240.26,,72240.2600000,646,8908.83,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC69000PE,69000.00,1.70,1.70,0.05,72240.26,,72240.2600000,41578,573787.22,0,-,72240.26
29/12/2023,29-Dec-2023,SENSEX23DEC69100PE,69100.00,1.00,1.20,0.05,72240.26,,72240.2600000,1580,21835.77,0,-,72240.26
